Date,Open,High,Low,Close,Volume
09/03/15,20.7794830372,20.6749498998,20.6055760558,20.5924112607,0.0938392481
09/02/15,20.9233637117,20.7835638731,20.8862778011,20.7794057794,0.0734360968
09/01/15,20.5915841584,20.9359605911,20.8374155405,20.7931323283,0.0591410353
08/31/15,20.6741393114,20.7930344275,20.7107404394,20.6643835616,0.0811280914
08/28/15,20.7664526485,20.7191100516,20.7037933818,20.5886327504,0.0833787964
08/27/15,21.0409332788,20.8992403039,20.8064397047,20.7265093962,0.0942227075
08/26/15,20.2943396226,20.9272953885,20.5741297808,20.856726364,0.0805238203
08/25/15,19.7124949454,19.7833468068,20.0365277181,20.0416845724,0.0934437699
08/24/15,20.2968476357,20.0885972108,23.2834279814,19.4122329284,0.1106750125
08/21/15,20.3759036145,20.3871866295,20.1331433225,20.1085807239,0.1030149597
08/20/15,20.7914543316,20.7975819033,20.4833200953,20.4755855498,0.1272300266
08/19/15,20.6077220077,20.6475787855,20.6479313037,20.7120093276,0.0797272415
08/18/15,20.4447841039,20.5833651278,20.5474171164,20.5224395857,0.10179161
08/17/15,20.4736030829,20.53125,20.4310077519,20.4204502098,0.1342964411
08/14/15,20.5945419103,20.4639846743,20.618657299,20.3803680982,0.0959667901
08/13/15,20.4644935972,20.6352759552,20.5107181889,20.5374176037,0.1763378665
08/12/15,20.5070477682,20.3825347759,20.2390532544,20.3368136118,0.1229379177
08/11/15,20.1171724933,20.3219362274,20.3588143526,20.5157526254,0.09479619
08/10/15,20.4061776062,20.2386463878,20.1930501931,19.9695121951,0.1114147846
08/07/15,20.391522158,20.3169570223,20.2346739555,20.2644435828,0.1531558131
08/06/15,20.6233269598,20.731092437,20.3204930663,20.3403764887,0.2208586428
08/05/15,20.6515906478,20.4762628181,20.5193622743,20.5750957854,0.1125520814
08/04/15,20.4592506759,20.6043745203,20.4863724352,20.5366795367,0.1334803293
08/03/15,20.57618683,20.6906584992,20.678125,20.6814843448,0.0925170437
07/31/15,20.5524208921,20.6481551921,20.5190057582,20.5421455939,0.1304277279
07/30/15,20.1162790698,20.5487804878,20.1572472126,20.549770291,0.1692248808
07/29/15,20.3495592181,20.2802701674,20.154318618,20.1447067784,0.1564387842
07/28/15,20.5363984674,20.4416920732,20.1587668593,20.1544061303,0.1899644193
07/27/15,20.6636648395,20.9757505774,20.6347962382,20.4782273603,0.2064935981
07/24/15,22.0064614215,22.0581306991,20.6213478769,20.56,0.7039334509
07/23/15,18.4973664409,18.4834586466,18.1564885496,18.3617669459,0.4040494026
07/22/15,18.079985119,18.2678041543,18.2499059089,18.3353360871,0.1290700347
07/21/15,18.0636801185,18.0066298343,18.0055970149,18.1750465549,0.1086606117
07/20/15,18.1626106195,18.1256890849,17.9711218067,17.9845246868,0.1925127956
07/17/15,17.5238444607,17.7614343213,17.6563078061,17.7316446402,0.1197392971
07/16/15,17.2535211268,17.599112426,17.3174366617,17.5843195266,0.1336877967
07/15/15,17.4009770763,17.3460246361,17.3007518797,17.2278670153,0.1069788178
07/14/15,17.5453510436,17.5682753461,17.3874762808,17.4632408102,0.212438032
07/13/15,16.9229898075,17.2585751979,17.0556402439,17.2108046845,0.1626667032
07/10/15,16.6915498295,16.8199697428,16.8586789555,16.8827559954,0.0946765005
07/09/15,16.6182651891,16.6181818182,16.691657055,16.6944657955,0.0746889914
07/08/15,16.6481410502,16.615472561,16.5699381762,16.5971417536,0.0744014963
07/07/15,16.5155420773,16.4870056497,16.4122637871,16.4986777484,0.1058055542
07/06/15,16.4052016585,16.5063813814,16.5465648855,16.5731660965,0.0683162356
07/02/15,16.3670411985,16.3324636601,16.2962406015,16.3446601942,0.0516646206
07/01/15,16.4735658043,16.3751395608,16.4556101247,16.4062265566,0.065305419
06/30/15,16.1894108874,16.15615727,16.2254052017,16.3375987956,0.0730324553
06/29/15,16.170260223,16.2031887282,16.1703731625,16.1358858859,0.0824992815
06/26/15,16.3372781065,16.3468485072,16.1672240803,16.1720191953,0.1018130076
06/25/15,16.0582844575,16.2146252285,16.1506291636,16.275887574,0.0958551375
06/24/15,16.1513611615,16.182312432,16.1552293578,16.1716801174,0.0807484324
06/23/15,15.8858497447,16.1971014493,15.8338809785,16.188384755,0.0998141639
06/22/15,16.0073260073,15.9723636364,15.9098570905,15.9113785558,0.066300479
06/19/15,16.1444811148,16.2523739956,15.9396615158,15.966226138,0.0745854073
